district_id,year,pm25_reduction_pct,nox_reduction_pct,respiratory_cases_avoided,healthcare_savings_eur,premature_deaths_avoided,productivity_days_gained,ev_km_displaced_fossil,co2_savings_tons
D001,2023,1.8,2.1,45,67500,0.8,320,1250000,187.5
D001,2024,2.5,3.0,68,102000,1.2,485,1890000,283.5
D002,2023,2.2,2.6,52,78000,1.0,380,1480000,222.0
D002,2024,3.1,3.7,82,123000,1.5,590,2350000,352.5
D003,2023,2.8,3.3,72,108000,1.3,520,2100000,315.0
D003,2024,4.0,4.8,115,172500,2.1,830,3380000,507.0
D004,2023,3.5,4.2,88,132000,1.6,640,2650000,397.5
D004,2024,5.2,6.2,148,222000,2.8,1080,4520000,678.0
D005,2023,2.4,2.8,62,93000,1.1,450,1780000,267.0
D005,2024,3.4,4.0,95,142500,1.7,690,2720000,408.0
D006,2023,1.5,1.8,38,57000,0.7,275,980000,147.0
D006,2024,2.1,2.5,55,82500,1.0,400,1450000,217.5
D007,2023,2.0,2.4,48,72000,0.9,350,1350000,202.5
D007,2024,3.2,3.8,85,127500,1.5,620,2580000,387.0
D008,2023,2.5,3.0,58,87000,1.1,420,1620000,243.0
D008,2024,3.6,4.3,92,138000,1.7,670,2480000,372.0
D009,2023,1.2,1.4,28,42000,0.5,200,720000,108.0
D009,2024,1.6,1.9,38,57000,0.7,275,980000,147.0
D010,2023,0.9,1.1,22,33000,0.4,160,550000,82.5
D010,2024,1.3,1.5,32,48000,0.6,230,780000,117.0
D011,2023,1.0,1.2,25,37500,0.5,180,620000,93.0
D011,2024,1.5,1.8,40,60000,0.7,290,1020000,153.0
D012,2023,1.6,1.9,38,57000,0.7,275,1050000,157.5
D012,2024,2.3,2.7,58,87000,1.0,420,1580000,237.0
D013,2023,3.0,3.6,78,117000,1.4,565,2350000,352.5
D013,2024,4.5,5.4,128,192000,2.3,930,3850000,577.5
D014,2023,2.0,2.4,52,78000,0.9,375,1480000,222.0
D014,2024,2.9,3.5,78,117000,1.4,565,2180000,327.0
D015,2023,1.4,1.7,32,48000,0.6,230,880000,132.0
D015,2024,2.0,2.4,48,72000,0.9,350,1350000,202.5
