charger_id,month,year,total_sessions,total_kwh,revenue_eur,energy_cost_eur,downtime_hours,unique_users
CH001,1,2024,510,17952,5026.56,2513.28,8,185
CH001,2,2024,485,17072,4780.16,2390.08,12,178
CH001,3,2024,548,19289.6,5400.89,2700.44,6,195
CH001,4,2024,562,19782.4,5539.07,2769.54,4,201
CH001,5,2024,590,20768,5815.04,2907.52,3,212
CH001,6,2024,575,20240,5667.20,2833.60,5,208
CH003,1,2024,696,26517.6,7955.28,3712.46,4,245
CH003,2,2024,672,25603.2,7680.96,3584.45,6,238
CH003,3,2024,720,27432,8229.60,3840.48,3,258
CH003,4,2024,744,28346.4,8503.92,3968.50,2,265
CH003,5,2024,768,29260.8,8778.24,4096.51,5,272
CH003,6,2024,730,27813,8343.90,3893.82,4,260
CH005,1,2024,638,27115,8676.80,3796.10,10,220
CH005,2,2024,612,26010,8323.20,3641.40,14,210
CH005,3,2024,680,28900,9248.00,4046.00,7,235
CH005,4,2024,695,29537.5,9452.00,4135.25,5,240
CH005,5,2024,720,30600,9792.00,4284.00,3,250
CH005,6,2024,700,29750,9520.00,4165.00,6,242
CH007,1,2024,812,32723.6,9817.08,4581.30,5,290
CH007,2,2024,790,31837,9551.10,4457.18,8,282
CH007,3,2024,840,33852,10155.60,4739.28,3,305
CH007,4,2024,868,34981.4,10494.42,4897.40,2,315
CH007,5,2024,896,36108.8,10832.64,5055.23,4,325
CH007,6,2024,855,34468.5,10340.55,4825.59,6,310
CH008,1,2024,870,39846,13946.10,5578.44,8,310
CH008,2,2024,840,38472,13465.20,5386.08,12,298
CH008,3,2024,920,42116,14740.60,5896.24,5,335
CH008,4,2024,945,43261.5,15141.53,6056.61,3,345
CH008,5,2024,980,44884,15709.40,6283.76,4,358
CH008,6,2024,930,42573,14900.55,5960.22,6,340
CH009,1,2024,580,21286,5960.08,2980.04,6,195
CH009,2,2024,560,20552,5754.56,2877.28,9,188
CH009,3,2024,620,22754,6371.12,3185.56,4,210
CH009,4,2024,635,23304.5,6525.26,3262.63,3,218
CH009,5,2024,660,24222,6782.16,3391.08,5,225
CH009,6,2024,640,23488,6576.64,3288.32,4,220
CH012,1,2024,464,15544,4041.44,2176.16,7,165
CH012,2,2024,448,15008,3902.08,2101.12,10,158
CH012,3,2024,496,16616,4320.16,2326.24,5,178
CH012,4,2024,510,17085,4442.10,2391.90,3,185
CH012,5,2024,528,17688,4598.88,2476.32,4,192
CH012,6,2024,505,16917.5,4398.55,2368.45,6,182
CH014,1,2024,609,23020.2,6445.66,3222.83,5,210
CH014,2,2024,588,22225.2,6223.06,3111.53,8,202
CH014,3,2024,651,24607.8,6890.18,3445.09,4,225
CH014,4,2024,665,25137,7038.36,3519.18,3,230
CH014,5,2024,690,26082,7302.96,3651.48,5,240
CH014,6,2024,670,25326,7091.28,3545.64,4,235
CH017,1,2024,377,11385.4,2732.50,1593.96,8,130
CH017,2,2024,364,10992.8,2638.27,1538.99,11,125
CH017,3,2024,403,12170.6,2920.94,1703.88,5,140
CH017,4,2024,415,12533,3007.92,1754.62,4,145
CH017,5,2024,429,12955.8,3109.39,1813.81,3,150
CH017,6,2024,420,12684,3044.16,1775.76,5,148
CH019,1,2024,725,31972.5,10231.20,4476.15,9,255
CH019,2,2024,700,30870,9878.40,4321.80,13,245
CH019,3,2024,775,34177.5,10936.80,4784.85,6,275
CH019,4,2024,790,34839,11148.48,4877.46,4,282
CH019,5,2024,820,36162,11571.84,5062.68,3,295
CH019,6,2024,800,35280,11289.60,4939.20,5,288
CH024,1,2024,928,44729.6,15655.36,6262.14,7,330
CH024,2,2024,896,43187.2,15115.52,6046.21,10,318
CH024,3,2024,980,47236,16532.60,6613.04,4,355
CH024,4,2024,1008,48585.6,17004.96,6801.98,3,365
CH024,5,2024,1040,50128,17544.80,7017.92,5,378
CH024,6,2024,1000,48200,16870.00,6748.00,4,362
