district_id,year,properties_within_500m,avg_value_before_eur,avg_value_after_eur,value_uplift_pct,total_uplift_eur,tourism_revenue_baseline_eur,tourism_revenue_with_ev_eur,tourism_uplift_eur
D001,2023,1250,185000,189625,2.5,5781250,18750000,19312500,562500
D001,2024,1250,189625,195214,2.9,6986250,19312500,20085000,772500
D002,2023,1800,220000,227700,3.5,13860000,42000000,43680000,1680000
D002,2024,1800,227700,236820,4.0,16416000,43680000,45864000,2184000
D003,2023,2100,165000,169950,3.0,10395000,6750000,7020000,270000
D003,2024,2100,169950,176748,4.0,14274600,7020000,7441200,421200
D004,2023,1500,250000,260000,4.0,15000000,48000000,50400000,2400000
D004,2024,1500,260000,273000,5.0,19500000,50400000,53928000,3528000
D005,2023,2400,195000,200850,3.0,14040000,10200000,10608000,408000
D005,2024,2400,200850,207878,3.5,16867200,10608000,11128800,520800
D006,2023,3200,145000,148625,2.5,11600000,7800000,8034000,234000
D006,2024,3200,148625,152340,2.5,11888000,8034000,8355360,321360
D007,2023,1400,130000,134550,3.5,6370000,27000000,28080000,1080000
D007,2024,1400,134550,140200,4.2,7910000,28080000,29764800,1684800
D008,2023,1100,110000,113850,3.5,4235000,31500000,32760000,1260000
D008,2024,1100,113850,118806,4.3,5451600,32760000,34726800,1966800
D009,2023,1300,105000,107100,2.0,2730000,5700000,5871000,171000
D009,2024,1300,107100,109778,2.5,3481400,5871000,6105840,234840
D010,2023,1500,95000,96900,2.0,2850000,4350000,4480500,130500
D010,2024,1500,96900,99322,2.5,3633000,4480500,4660020,179520
D011,2023,1700,85000,87125,2.5,3612500,6300000,6489000,189000
D011,2024,1700,87125,89738,3.0,4441250,6489000,6748560,259560
D012,2023,1200,120000,123000,2.5,3600000,14250000,14677500,427500
D012,2024,1200,123000,126690,3.0,4428000,14677500,15264600,587100
D013,2023,3500,155000,160425,3.5,19037500,5250000,5460000,210000
D013,2024,3500,160425,168446,5.0,28073750,5460000,5842200,382200
D014,2023,2200,140000,143500,2.5,7700000,4200000,4326000,126000
D014,2024,2200,143500,147798,3.0,9455600,4326000,4499040,173040
D015,2023,1000,100000,102500,2.5,2500000,9300000,9579000,279000
D015,2024,1000,102500,105575,3.0,3075000,9579000,9962160,383160
