district_id,year,waste_tons_total,waste_tons_recycled,waste_tons_landfill,landfill_cost_per_ton_eur,recycling_revenue_per_ton_eur,recycling_jobs_created,ev_battery_recycling_tons,ev_battery_recycling_revenue_eur,co2_avoided_tons
D001,2023,45200,12140,33060,85,42,28,2.8,14000,1850
D001,2024,46800,14040,32760,88,45,32,4.2,22050,2420
D002,2023,32100,9630,22470,85,42,22,1.9,9500,1280
D002,2024,33200,11220,21980,88,45,26,3.1,16275,1780
D003,2023,58500,16380,42120,82,40,35,3.5,17500,2650
D003,2024,60200,19866,40334,85,43,42,5.8,30450,3580
D004,2023,41800,13376,28424,90,48,30,4.2,21000,2980
D004,2024,43200,16416,26784,93,52,38,7.5,39375,4250
D005,2023,62500,17500,45000,82,40,32,3.8,19000,2450
D005,2024,64800,21384,43416,85,43,38,5.5,28875,3280
D006,2023,95200,23800,71400,78,38,40,2.1,10500,1650
D006,2024,98500,28565,69935,80,40,45,3.2,16800,2180
D007,2023,42800,12840,29960,80,40,25,2.5,12500,1520
D007,2024,44200,15470,28730,83,43,30,4.0,21000,2180
D008,2023,31500,8820,22680,78,38,18,2.2,11000,1380
D008,2024,32600,10768,21832,80,40,22,3.5,18375,1920
D009,2023,39800,9950,29850,75,36,20,1.2,6000,850
D009,2024,41200,12360,28840,78,38,24,1.8,9450,1120
D010,2023,45600,10944,34656,75,36,22,0.9,4500,680
D010,2024,47200,13216,33984,78,38,26,1.4,7350,920
D011,2023,51200,11264,39936,72,34,24,1.5,7500,780
D011,2024,53000,14310,38690,75,36,28,2.2,11550,1080
D012,2023,38500,10010,28490,78,38,20,1.8,9000,1150
D012,2024,39800,12736,27064,80,40,24,2.8,14700,1580
D013,2023,105000,27300,77700,80,40,45,4.5,22500,3200
D013,2024,108500,34720,73780,83,43,55,7.2,37800,4520
D014,2023,61800,15450,46350,78,38,28,2.8,14000,1850
D014,2024,63900,19170,44730,80,40,33,4.5,23625,2580
D015,2023,35200,8800,26400,76,36,16,1.5,7500,980
D015,2024,36400,10920,25480,78,38,20,2.3,12075,1380
